idx,name,optimizer,use_sam,sam_rho,wd,dropout,seed
1,sweep-adamw-wd003-dr00-s42,adamw,0,0.05,0.03,0.0,42
2,sweep-adamw-wd003-dr00-s1337,adamw,0,0.05,0.03,0.0,1337
3,sweep-adamw-wd003-dr00-s2718,adamw,0,0.05,0.03,0.0,2718
4,sweep-adamw-wd003-dr01-s42,adamw,0,0.05,0.03,0.1,42
5,sweep-adamw-wd003-dr01-s1337,adamw,0,0.05,0.03,0.1,1337
6,sweep-adamw-wd003-dr01-s2718,adamw,0,0.05,0.03,0.1,2718
7,sweep-adamw-wd01-dr00-s42,adamw,0,0.05,0.1,0.0,42
8,sweep-adamw-wd01-dr00-s1337,adamw,0,0.05,0.1,0.0,1337
9,sweep-adamw-wd01-dr00-s2718,adamw,0,0.05,0.1,0.0,2718
10,sweep-adamw-wd01-dr01-s42,adamw,0,0.05,0.1,0.1,42
11,sweep-adamw-wd01-dr01-s1337,adamw,0,0.05,0.1,0.1,1337
12,sweep-adamw-wd01-dr01-s2718,adamw,0,0.05,0.1,0.1,2718
13,sweep-adamw-wd03-dr00-s42,adamw,0,0.05,0.3,0.0,42
14,sweep-adamw-wd03-dr00-s1337,adamw,0,0.05,0.3,0.0,1337
15,sweep-adamw-wd03-dr00-s2718,adamw,0,0.05,0.3,0.0,2718
16,sweep-adamw-wd03-dr01-s42,adamw,0,0.05,0.3,0.1,42
17,sweep-adamw-wd03-dr01-s1337,adamw,0,0.05,0.3,0.1,1337
18,sweep-adamw-wd03-dr01-s2718,adamw,0,0.05,0.3,0.1,2718
19,sweep-adamw-wd10-dr00-s42,adamw,0,0.05,1.0,0.0,42
20,sweep-adamw-wd10-dr00-s1337,adamw,0,0.05,1.0,0.0,1337
21,sweep-adamw-wd10-dr00-s2718,adamw,0,0.05,1.0,0.0,2718
22,sweep-adamw-wd10-dr01-s42,adamw,0,0.05,1.0,0.1,42
23,sweep-adamw-wd10-dr01-s1337,adamw,0,0.05,1.0,0.1,1337
24,sweep-adamw-wd10-dr01-s2718,adamw,0,0.05,1.0,0.1,2718
25,sweep-muon-wd003-dr00-s42,muon,0,0.05,0.03,0.0,42
26,sweep-muon-wd003-dr00-s1337,muon,0,0.05,0.03,0.0,1337
27,sweep-muon-wd003-dr00-s2718,muon,0,0.05,0.03,0.0,2718
28,sweep-muon-wd003-dr01-s42,muon,0,0.05,0.03,0.1,42
29,sweep-muon-wd003-dr01-s1337,muon,0,0.05,0.03,0.1,1337
30,sweep-muon-wd003-dr01-s2718,muon,0,0.05,0.03,0.1,2718
31,sweep-muon-wd01-dr00-s42,muon,0,0.05,0.1,0.0,42
32,sweep-muon-wd01-dr00-s1337,muon,0,0.05,0.1,0.0,1337
33,sweep-muon-wd01-dr00-s2718,muon,0,0.05,0.1,0.0,2718
34,sweep-muon-wd01-dr01-s42,muon,0,0.05,0.1,0.1,42
35,sweep-muon-wd01-dr01-s1337,muon,0,0.05,0.1,0.1,1337
36,sweep-muon-wd01-dr01-s2718,muon,0,0.05,0.1,0.1,2718
37,sweep-muon-wd03-dr00-s42,muon,0,0.05,0.3,0.0,42
38,sweep-muon-wd03-dr00-s1337,muon,0,0.05,0.3,0.0,1337
39,sweep-muon-wd03-dr00-s2718,muon,0,0.05,0.3,0.0,2718
40,sweep-muon-wd03-dr01-s42,muon,0,0.05,0.3,0.1,42
41,sweep-muon-wd03-dr01-s1337,muon,0,0.05,0.3,0.1,1337
42,sweep-muon-wd03-dr01-s2718,muon,0,0.05,0.3,0.1,2718
43,sweep-muon-wd10-dr00-s42,muon,0,0.05,1.0,0.0,42
44,sweep-muon-wd10-dr00-s1337,muon,0,0.05,1.0,0.0,1337
45,sweep-muon-wd10-dr00-s2718,muon,0,0.05,1.0,0.0,2718
46,sweep-muon-wd10-dr01-s42,muon,0,0.05,1.0,0.1,42
47,sweep-muon-wd10-dr01-s1337,muon,0,0.05,1.0,0.1,1337
48,sweep-muon-wd10-dr01-s2718,muon,0,0.05,1.0,0.1,2718
49,sweep-adamw-sam-wd003-dr00-s42,adamw,1,0.05,0.03,0.0,42
50,sweep-adamw-sam-wd003-dr00-s1337,adamw,1,0.05,0.03,0.0,1337
51,sweep-adamw-sam-wd003-dr00-s2718,adamw,1,0.05,0.03,0.0,2718
52,sweep-adamw-sam-wd003-dr01-s42,adamw,1,0.05,0.03,0.1,42
53,sweep-adamw-sam-wd003-dr01-s1337,adamw,1,0.05,0.03,0.1,1337
54,sweep-adamw-sam-wd003-dr01-s2718,adamw,1,0.05,0.03,0.1,2718
55,sweep-adamw-sam-wd01-dr00-s42,adamw,1,0.05,0.1,0.0,42
56,sweep-adamw-sam-wd01-dr00-s1337,adamw,1,0.05,0.1,0.0,1337
57,sweep-adamw-sam-wd01-dr00-s2718,adamw,1,0.05,0.1,0.0,2718
58,sweep-adamw-sam-wd01-dr01-s42,adamw,1,0.05,0.1,0.1,42
59,sweep-adamw-sam-wd01-dr01-s1337,adamw,1,0.05,0.1,0.1,1337
60,sweep-adamw-sam-wd01-dr01-s2718,adamw,1,0.05,0.1,0.1,2718
61,sweep-adamw-sam-wd03-dr00-s42,adamw,1,0.05,0.3,0.0,42
62,sweep-adamw-sam-wd03-dr00-s1337,adamw,1,0.05,0.3,0.0,1337
63,sweep-adamw-sam-wd03-dr00-s2718,adamw,1,0.05,0.3,0.0,2718
64,sweep-adamw-sam-wd03-dr01-s42,adamw,1,0.05,0.3,0.1,42
65,sweep-adamw-sam-wd03-dr01-s1337,adamw,1,0.05,0.3,0.1,1337
66,sweep-adamw-sam-wd03-dr01-s2718,adamw,1,0.05,0.3,0.1,2718
67,sweep-adamw-sam-wd10-dr00-s42,adamw,1,0.05,1.0,0.0,42
68,sweep-adamw-sam-wd10-dr00-s1337,adamw,1,0.05,1.0,0.0,1337
69,sweep-adamw-sam-wd10-dr00-s2718,adamw,1,0.05,1.0,0.0,2718
70,sweep-adamw-sam-wd10-dr01-s42,adamw,1,0.05,1.0,0.1,42
71,sweep-adamw-sam-wd10-dr01-s1337,adamw,1,0.05,1.0,0.1,1337
72,sweep-adamw-sam-wd10-dr01-s2718,adamw,1,0.05,1.0,0.1,2718
73,sweep-muon-sam-wd003-dr00-s42,muon,1,0.05,0.03,0.0,42
